Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-12 14:30:00+00:00,272.94000244140625,245.9250030517578,287.5199890136719,614.5900268554688,113.90799713134766,275.239990234375,250.3699951171875,292.2699890136719,628.989990234375,114.15299987792969,271.8699951171875,245.5500030517578,286.20001220703125,614.0,112.8270034790039,275.07501220703125,250.18499755859375,292.1700134277344,628.405029296875,113.81700134277344,10718425,5045151,3474571,4427247,409424
2025-11-12 15:30:00+00:00,274.6000061035156,245.3000030517578,285.9700012207031,610.7899780273438,114.10400390625,274.6099853515625,246.31500244140625,287.6499938964844,616.39990234375,114.1500015258789,272.54998779296875,243.92999267578125,284.3800048828125,607.77001953125,113.61500549316406,272.9100036621094,245.9250030517578,287.5,614.5800170898438,113.88850402832031,3328165,3243589,1778598,3530749,313260
2025-11-12 16:30:00+00:00,274.3900146484375,245.1699981689453,286.4205017089844,613.7349853515625,115.04399108886719,274.8500061035156,245.71499633789062,286.5199890136719,613.780029296875,115.05999755859375,273.7250061035156,244.16720581054688,284.45001220703125,608.1500854492188,114.0770034790039,274.5899963378906,245.27000427246094,285.9700012207031,610.8099975585938,114.11940002441406,2104341,1610983,1136343,1814076,294275
2025-11-12 17:30:00+00:00,274.9800109863281,245.44869995117188,286.8399963378906,611.7000122070312,115.66949462890625,275.1400146484375,246.30499267578125,287.3999938964844,616.0899047851562,115.83499908447266,274.1199951171875,245.14999389648438,286.0,611.4199829101562,115.02400207519531,274.3800048828125,245.16000366210938,286.42498779296875,613.8200073242188,115.04399108886719,1642127,1739076,909402,1271841,434977
2025-11-12 18:30:00+00:00,274.45001220703125,245.08749389648438,286.6026916503906,612.7713012695312,115.4482421875,275.7300109863281,245.88999938964844,287.1300048828125,613.97998046875,115.80000305175781,274.42999267578125,245.0399932861328,286.2950134277344,610.5499877929688,115.26200103759766,274.989990234375,245.4250030517578,286.8399963378906,611.7000122070312,115.66231536865234,2013567,1314668,700361,1253648,257867
2025-11-12 19:30:00+00:00,274.04998779296875,245.16000366210938,287.20001220703125,611.2899780273438,116.11800384521484,274.69000244140625,245.36990356445312,287.2460021972656,614.0499877929688,116.19999694824219,273.5,244.43299865722656,286.30999755859375,609.6099853515625,115.35699462890625,274.45001220703125,245.07009887695312,286.625,612.72998046875,115.46099853515625,2059500,1719465,802366,1542015,313820
2025-11-12 20:30:00+00:00,273.4700012207031,244.25,287.4100036621094,609.1300048828125,115.76750183105469,274.3999938964844,245.3300018310547,287.9100036621094,612.0700073242188,116.4339828491211,272.9700012207031,243.75,286.9700012207031,607.7999877929688,115.46800231933594,274.04998779296875,245.13999938964844,287.2200012207031,611.2999877929688,116.10600280761719,3569857,9690051,1235131,1957837,408535
2025-11-13 14:30:00+00:00,273.7099914550781,242.53900146484375,280.2550048828125,614.5399780273438,116.1364974975586,276.6990051269531,243.72999572753906,283.510009765625,617.6500244140625,116.73299407958984,273.2900085449219,240.7259979248047,278.0,609.6900024414062,114.73299407958984,274.2699890136719,243.10000610351562,282.9849853515625,613.0700073242188,115.8499984741211,10014720,4344807,3291073,3774745,589184
